Year,"Country of origin","Country of asylum","Country of resettlement",Total
2023,Afghanistan,Egypt,Canada,16
2023,Afghanistan,India,Australia,142
2023,Afghanistan,India,Canada,81
2023,Afghanistan,India,"United States of America",107
2023,Afghanistan,Indonesia,Australia,217
2023,Afghanistan,Indonesia,Canada,121
2023,Afghanistan,Indonesia,"United States of America",413
2023,Afghanistan,"Iran (Islamic Rep. of)",Australia,507
2023,Afghanistan,"Iran (Islamic Rep. of)",Finland,756
2023,Afghanistan,"Iran (Islamic Rep. of)","United Kingdom of Great Britain and Northern Ireland",90
2023,Afghanistan,"Iran (Islamic Rep. of)",Italy,50
2023,Afghanistan,Lebanon,Canada,6
2023,Afghanistan,"Sri Lanka","United States of America",14
2023,Afghanistan,Madagascar,"United States of America",11
2023,Afghanistan,Malaysia,Australia,17
2023,Afghanistan,Malaysia,Canada,148
2023,Afghanistan,Malaysia,"Netherlands (Kingdom of the)",20
2023,Afghanistan,Malaysia,"New Zealand",34
2023,Afghanistan,Malaysia,"United States of America",209
2023,Afghanistan,Morocco,Canada,7
2023,Afghanistan,Nepal,Sweden,9
2023,Afghanistan,Pakistan,Australia,38
2023,Afghanistan,Pakistan,Canada,206
2023,Afghanistan,Pakistan,"United Kingdom of Great Britain and Northern Ireland",11
2023,Afghanistan,Pakistan,Italy,72
2023,Afghanistan,Pakistan,"United States of America",11
2023,Afghanistan,Thailand,Canada,8
2023,Afghanistan,Thailand,"United States of America",13
2023,Afghanistan,Türkiye,Australia,285
2023,Afghanistan,Türkiye,Canada,347
2023,Afghanistan,Türkiye,Italy,41
2023,Afghanistan,Türkiye,Norway,36
2023,Afghanistan,Türkiye,"United States of America",2254
2023,Afghanistan,"United Arab Emirates",Finland,5
2023,Burundi,"Dem. Rep. of the Congo",Finland,8
2023,Burundi,Ethiopia,France,6
2023,Burundi,Kenya,"United States of America",31
2023,Burundi,Malawi,"United States of America",56
2023,Burundi,Mozambique,"United States of America",5
2023,Burundi,"South Africa","United States of America",40
2023,Burundi,Rwanda,Canada,46
2023,Burundi,Rwanda,France,19
2023,Burundi,Rwanda,"United States of America",17
2023,Burundi,"United Rep. of Tanzania",Canada,22
2023,Burundi,"United Rep. of Tanzania",Finland,5
2023,Burundi,"United Rep. of Tanzania",France,5
2023,Burundi,"United Rep. of Tanzania","United States of America",48
2023,Burundi,Uganda,"United States of America",72
2023,Burundi,Zambia,"United States of America",14
2023,Burundi,Zimbabwe,"United States of America",50
2023,"Central African Rep.",Algeria,Canada,13
2023,"Central African Rep.",Algeria,"United States of America",5
2023,"Central African Rep.",Chad,Australia,54
2023,"Central African Rep.",Chad,Canada,13
2023,"Central African Rep.",Chad,France,183
2023,"Central African Rep.",Chad,Norway,12
2023,"Central African Rep.",Chad,"United States of America",393
2023,"Central African Rep.",Cameroon,Canada,214
2023,"Central African Rep.",Cameroon,France,357
2023,"Central African Rep.",Cameroon,"United States of America",272
2023,"Central African Rep.","Dem. Rep. of the Congo",Canada,5
2023,"Central African Rep.",Mauritania,"United States of America",5
2023,"Central African Rep.",Morocco,Canada,19
2023,"Dem. Rep. of the Congo",Algeria,"United States of America",6
2023,"Dem. Rep. of the Congo",Burundi,Australia,324
2023,"Dem. Rep. of the Congo",Burundi,Canada,487
2023,"Dem. Rep. of the Congo",Burundi,"United States of America",3479
2023,"Dem. Rep. of the Congo",Cameroon,Australia,12
2023,"Dem. Rep. of the Congo",Ethiopia,France,15
2023,"Dem. Rep. of the Congo",Ethiopia,"United States of America",42
2023,"Dem. Rep. of the Congo",Kenya,Australia,201
2023,"Dem. Rep. of the Congo",Kenya,Canada,48
2023,"Dem. Rep. of the Congo",Kenya,Germany,6
2023,"Dem. Rep. of the Congo",Kenya,"Netherlands (Kingdom of the)",108
2023,"Dem. Rep. of the Congo",Kenya,Norway,124
2023,"Dem. Rep. of the Congo",Kenya,"United States of America",538
2023,"Dem. Rep. of the Congo",Malawi,Australia,165
2023,"Dem. Rep. of the Congo",Malawi,Canada,58
2023,"Dem. Rep. of the Congo",Malawi,Finland,9
2023,"Dem. Rep. of the Congo",Malawi,Norway,10
2023,"Dem. Rep. of the Congo",Malawi,"United States of America",468
2023,"Dem. Rep. of the Congo",Morocco,Canada,9
2023,"Dem. Rep. of the Congo",Morocco,"United States of America",9
2023,"Dem. Rep. of the Congo",Mozambique,France,7
2023,"Dem. Rep. of the Congo",Mozambique,"United States of America",122
2023,"Dem. Rep. of the Congo",Namibia,Canada,136
2023,"Dem. Rep. of the Congo",Peru,Canada,5
2023,"Dem. Rep. of the Congo","South Africa",Canada,113
2023,"Dem. Rep. of the Congo","South Africa","United States of America",316
2023,"Dem. Rep. of the Congo",Rwanda,Australia,125
2023,"Dem. Rep. of the Congo",Rwanda,Belgium,154
2023,"Dem. Rep. of the Congo",Rwanda,Canada,964
2023,"Dem. Rep. of the Congo",Rwanda,Denmark,149
2023,"Dem. Rep. of the Congo",Rwanda,France,222
2023,"Dem. Rep. of the Congo",Rwanda,Norway,546
2023,"Dem. Rep. of the Congo",Rwanda,"New Zealand",80
2023,"Dem. Rep. of the Congo",Rwanda,"United States of America",4986
2023,"Dem. Rep. of the Congo",Senegal,Finland,6
2023,"Dem. Rep. of the Congo","United Rep. of Tanzania",Australia,40
2023,"Dem. Rep. of the Congo","United Rep. of Tanzania",Canada,337
2023,"Dem. Rep. of the Congo","United Rep. of Tanzania","United States of America",7370
2023,"Dem. Rep. of the Congo",Uganda,Canada,46
2023,"Dem. Rep. of the Congo",Uganda,Norway,22
2023,"Dem. Rep. of the Congo",Uganda,Sweden,155
2023,"Dem. Rep. of the Congo",Uganda,"United States of America",2854
2023,"Dem. Rep. of the Congo",Zambia,Finland,164
2023,"Dem. Rep. of the Congo",Zambia,Sweden,30
2023,"Dem. Rep. of the Congo",Zambia,"United States of America",644
2023,"Dem. Rep. of the Congo",Zimbabwe,France,9
2023,"Dem. Rep. of the Congo",Zimbabwe,"United States of America",627
2023,Colombia,"Curacao ",Australia,8
2023,Colombia,Ecuador,Canada,125
2023,Colombia,Ecuador,"New Zealand",62
2023,Colombia,Ecuador,"United States of America",845
2023,Colombia,Peru,Canada,8
2023,Colombia,Peru,"United States of America",14
2023,Cuba,Colombia,"United States of America",11
2023,Cuba,"Dominican Rep.","United States of America",5
2023,Cuba,Peru,"United States of America",8
2023,Cuba,"Trinidad and Tobago",Australia,9
2023,Cuba,"Trinidad and Tobago",Canada,11
2023,Cuba,"Trinidad and Tobago","United States of America",56
2023,Eritrea,Egypt,Belgium,8
2023,Eritrea,Egypt,Canada,90
2023,Eritrea,Egypt,France,17
2023,Eritrea,Egypt,"United Kingdom of Great Britain and Northern Ireland",6
