Source,Target,Type,Id,Label,Weight,movement
Afghanistan,Egypt,Directed,0,,16,Origin to Asylum
Afghanistan,India,Directed,1,,330,Origin to Asylum
Afghanistan,Indonesia,Directed,2,,751,Origin to Asylum
Afghanistan,Iran (Islamic Rep. of),Directed,3,,1403,Origin to Asylum
Afghanistan,Lebanon,Directed,4,,6,Origin to Asylum
Afghanistan,Madagascar,Directed,5,,11,Origin to Asylum
Afghanistan,Malaysia,Directed,6,,428,Origin to Asylum
Afghanistan,Morocco,Directed,7,,7,Origin to Asylum
Afghanistan,Nepal,Directed,8,,9,Origin to Asylum
Afghanistan,Pakistan,Directed,9,,338,Origin to Asylum
Afghanistan,Sri Lanka,Directed,10,,14,Origin to Asylum
Afghanistan,Thailand,Directed,11,,21,Origin to Asylum
Afghanistan,Türkiye,Directed,12,,2963,Origin to Asylum
Afghanistan,United Arab Emirates,Directed,13,,5,Origin to Asylum
Algeria,Canada,Directed,14,,93,Asylum to Resettlement
Algeria,United States of America,Directed,15,,28,Asylum to Resettlement
Aruba,United States of America,Directed,16,,2,Asylum to Resettlement
Australia,New Zealand,Directed,17,,94,Asylum to Resettlement
Australia,United States of America,Directed,18,,17,Asylum to Resettlement
Bahrain,United States of America,Directed,19,,1,Asylum to Resettlement
Bangladesh,Canada,Directed,20,,84,Asylum to Resettlement
Bangladesh,Sweden,Directed,21,,3,Asylum to Resettlement
Bangladesh,United States of America,Directed,22,,152,Asylum to Resettlement
Benin,Germany,Directed,23,,4,Asylum to Resettlement
Benin,Norway,Directed,24,,3,Asylum to Resettlement
Burundi,Australia,Directed,25,,328,Asylum to Resettlement
Burundi,Canada,Directed,26,,504,Asylum to Resettlement
Burundi,Dem. Rep. of the Congo,Directed,27,,8,Origin to Asylum
Burundi,Ethiopia,Directed,28,,6,Origin to Asylum
Burundi,Kenya,Directed,29,,31,Origin to Asylum
Burundi,Malawi,Directed,30,,56,Origin to Asylum
Burundi,Mozambique,Directed,31,,5,Origin to Asylum
Burundi,Rwanda,Directed,32,,82,Origin to Asylum
Burundi,South Africa,Directed,33,,40,Origin to Asylum
Burundi,Uganda,Directed,34,,72,Origin to Asylum
Burundi,United Kingdom of Great Britain and Northern Ireland,Directed,35,,13,Asylum to Resettlement
Burundi,United Rep. of Tanzania,Directed,36,,80,Origin to Asylum
Burundi,United States of America,Directed,37,,3519,Asylum to Resettlement
Burundi,Zambia,Directed,38,,14,Origin to Asylum
Burundi,Zimbabwe,Directed,39,,50,Origin to Asylum
Cameroon,Australia,Directed,40,,22,Asylum to Resettlement
Cameroon,Canada,Directed,41,,215,Asylum to Resettlement
Cameroon,Finland,Directed,42,,3,Asylum to Resettlement
Cameroon,France,Directed,43,,364,Asylum to Resettlement
Cameroon,United States of America,Directed,44,,274,Asylum to Resettlement
Central African Rep.,Algeria,Directed,45,,18,Origin to Asylum
Central African Rep.,Cameroon,Directed,46,,843,Origin to Asylum
Central African Rep.,Chad,Directed,47,,655,Origin to Asylum
Central African Rep.,Dem. Rep. of the Congo,Directed,48,,5,Origin to Asylum
Central African Rep.,Mauritania,Directed,49,,5,Origin to Asylum
Central African Rep.,Morocco,Directed,50,,19,Origin to Asylum
Chad,Australia,Directed,51,,54,Asylum to Resettlement
Chad,Canada,Directed,52,,13,Asylum to Resettlement
Chad,Finland,Directed,53,,5,Asylum to Resettlement
Chad,France,Directed,54,,408,Asylum to Resettlement
Chad,Norway,Directed,55,,12,Asylum to Resettlement
Chad,Sweden,Directed,56,,16,Asylum to Resettlement
Chad,United States of America,Directed,57,,981,Asylum to Resettlement
China,Canada,Directed,58,,10,Asylum to Resettlement
China,United States of America,Directed,59,,14,Asylum to Resettlement
"China, Hong Kong SAR",Canada,Directed,60,,3,Asylum to Resettlement
Colombia,Australia,Directed,61,,3,Asylum to Resettlement
Colombia,Canada,Directed,62,,23,Asylum to Resettlement
Colombia,Curacao,Directed,63,,8,Origin to Asylum
Colombia,Ecuador,Directed,64,,1032,Origin to Asylum
Colombia,Peru,Directed,65,,22,Origin to Asylum
Colombia,United States of America,Directed,66,,634,Asylum to Resettlement
Congo,Australia,Directed,67,,5,Asylum to Resettlement
Congo,Canada,Directed,68,,20,Asylum to Resettlement
Congo,France,Directed,69,,3,Asylum to Resettlement
Costa Rica,Canada,Directed,70,,8,Asylum to Resettlement
Costa Rica,United States of America,Directed,71,,391,Asylum to Resettlement
Cote d'Ivoire,Sweden,Directed,72,,10,Asylum to Resettlement
Cuba,Colombia,Directed,73,,11,Origin to Asylum
Cuba,Dominican Rep.,Directed,74,,5,Origin to Asylum
Cuba,Finland,Directed,75,,1,Asylum to Resettlement
Cuba,France,Directed,76,,3,Asylum to Resettlement
Cuba,Peru,Directed,77,,8,Origin to Asylum
Cuba,Trinidad and Tobago,Directed,78,,76,Origin to Asylum
Cuba,United States of America,Directed,79,,2,Asylum to Resettlement
Curacao,Australia,Directed,80,,10,Asylum to Resettlement
Dem. Rep. of the Congo,Algeria,Directed,81,,6,Origin to Asylum
Dem. Rep. of the Congo,Burundi,Directed,82,,4290,Origin to Asylum
Dem. Rep. of the Congo,Cameroon,Directed,83,,12,Origin to Asylum
Dem. Rep. of the Congo,Canada,Directed,84,,5,Asylum to Resettlement
Dem. Rep. of the Congo,Ethiopia,Directed,85,,57,Origin to Asylum
Dem. Rep. of the Congo,Finland,Directed,86,,9,Asylum to Resettlement
Dem. Rep. of the Congo,France,Directed,87,,2,Asylum to Resettlement
Dem. Rep. of the Congo,Kenya,Directed,88,,1025,Origin to Asylum
Dem. Rep. of the Congo,Malawi,Directed,89,,710,Origin to Asylum
Dem. Rep. of the Congo,Morocco,Directed,90,,18,Origin to Asylum
Dem. Rep. of the Congo,Mozambique,Directed,91,,129,Origin to Asylum
Dem. Rep. of the Congo,Namibia,Directed,92,,136,Origin to Asylum
Dem. Rep. of the Congo,Peru,Directed,93,,5,Origin to Asylum
Dem. Rep. of the Congo,Rwanda,Directed,94,,7226,Origin to Asylum
Dem. Rep. of the Congo,Senegal,Directed,95,,6,Origin to Asylum
Dem. Rep. of the Congo,South Africa,Directed,96,,429,Origin to Asylum
Dem. Rep. of the Congo,Uganda,Directed,97,,3077,Origin to Asylum
Dem. Rep. of the Congo,United Rep. of Tanzania,Directed,98,,7747,Origin to Asylum
Dem. Rep. of the Congo,Zambia,Directed,99,,838,Origin to Asylum
Dem. Rep. of the Congo,Zimbabwe,Directed,100,,636,Origin to Asylum
Djibouti,Sweden,Directed,101,,8,Asylum to Resettlement
Dominican Rep.,Australia,Directed,102,,45,Asylum to Resettlement
Dominican Rep.,Canada,Directed,103,,36,Asylum to Resettlement
Dominican Rep.,United States of America,Directed,104,,303,Asylum to Resettlement
Ecuador,Australia,Directed,105,,4,Asylum to Resettlement
Ecuador,Canada,Directed,106,,147,Asylum to Resettlement
Ecuador,New Zealand,Directed,107,,69,Asylum to Resettlement
Ecuador,United States of America,Directed,108,,1207,Asylum to Resettlement
Egypt,Australia,Directed,109,,21,Asylum to Resettlement
Egypt,Belgium,Directed,110,,79,Asylum to Resettlement
Egypt,Canada,Directed,111,,688,Asylum to Resettlement
Egypt,Finland,Directed,112,,14,Asylum to Resettlement
Egypt,France,Directed,113,,172,Asylum to Resettlement
Egypt,Germany,Directed,114,,1247,Asylum to Resettlement
Egypt,Netherlands (Kingdom of the),Directed,115,,124,Asylum to Resettlement
