Id,Label,X,Y
Afghanistan,Afghanistan,-304.021362,186.319351
Egypt,Egypt,62.074055,497.647308
India,India,-118.215881,106.966293
Indonesia,Indonesia,-251.119461,102.369843
Iran (Islamic Rep. of),Iran (Islamic Rep. of),-478.981689,146.571854
Lebanon,Lebanon,-113.396072,523.544861
Madagascar,Madagascar,-258.093109,-211.61705
Malaysia,Malaysia,-457.983215,289.42569
Morocco,Morocco,191.086685,-273.736267
Nepal,Nepal,109.324318,-64.22348
Pakistan,Pakistan,-517.245544,12.723066
Sri Lanka,Sri Lanka,-306.85611,12.42974
Thailand,Thailand,-394.84549,64.88224
Türkiye,Türkiye,-349.929565,509.337463
United Arab Emirates,United Arab Emirates,-2.599197,161.115479
Algeria,Algeria,236.546539,-367.812408
Canada,Canada,-29.07637,-117.331039
United States of America,United States of America,22.295673,-300.345459
Aruba,Aruba,98.390457,-391.043884
Australia,Australia,-211.472229,-76.210617
New Zealand,New Zealand,-389.294922,-77.223984
Bahrain,Bahrain,-7.328046,-419.475342
Bangladesh,Bangladesh,-89.678185,12.732768
Sweden,Sweden,241.428436,199.167938
Benin,Benin,169.99324,394.8638
Germany,Germany,179.635132,467.950806
Norway,Norway,104.481026,280.727356
Burundi,Burundi,525.911926,-142.482346
Dem. Rep. of the Congo,Dem. Rep. of the Congo,485.26178,-301.508209
Ethiopia,Ethiopia,481.305023,332.707855
Kenya,Kenya,538.651489,201.543839
Malawi,Malawi,219.753769,-110.279213
Mozambique,Mozambique,300.128906,-204.380142
Rwanda,Rwanda,576.109924,36.240162
South Africa,South Africa,413.570984,-83.198807
Uganda,Uganda,418.520142,30.566231
United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,-313.170349,288.357422
United Rep. of Tanzania,United Rep. of Tanzania,319.656982,-96.683525
Zambia,Zambia,331.405334,12.50113
Zimbabwe,Zimbabwe,360.319122,-243.887238
Cameroon,Cameroon,215.644989,-179.223038
Finland,Finland,107.471581,126.292763
France,France,217.121658,12.580175
Central African Rep.,Central African Rep.,278.502472,-287.102051
Chad,Chad,131.067963,12.627736
Mauritania,Mauritania,125.960625,-213.601044
China,China,-135.996033,-295.111694
"China, Hong Kong SAR","China, Hong Kong SAR",-133.566833,-175.360092
Colombia,Colombia,-355.36792,-321.184448
Curacao,Curacao,-389.130798,-205.849121
Ecuador,Ecuador,-303.508118,-246.780228
Peru,Peru,-194.933807,-349.786377
Congo,Congo,-27.720087,12.599893
Costa Rica,Costa Rica,-160.738205,-402.335785
Cote d'Ivoire,Cote d'Ivoire,306.440125,215.222015
Cuba,Cuba,-178.024963,-222.88092
Dominican Rep.,Dominican Rep.,-274.197815,-336.096741
Trinidad and Tobago,Trinidad and Tobago,-218.477341,-269.812164
Namibia,Namibia,67.80648,-175.654861
Senegal,Senegal,39.493103,36.370544
Djibouti,Djibouti,375.632751,308.225128
Belgium,Belgium,125.149551,652.651184
Netherlands (Kingdom of the),Netherlands (Kingdom of the),20.13302,394.412933
Portugal,Portugal,-140.471161,647.013062
Switzerland,Switzerland,-120.347214,747.756531
El Salvador,El Salvador,-113.854958,-365.25943
Guatemala,Guatemala,-185.011322,-486.121033
Mexico,Mexico,-94.674667,-463.179535
Eritrea,Eritrea,382.061798,137.684692
Israel,Israel,66.443062,-17.346273
Libya,Libya,19.905748,247.69632
Niger,Niger,279.158295,107.503662
Sudan,Sudan,267.461914,313.472992
Tunisia,Tunisia,163.191833,-90.142654
Gambia,Gambia,149.929092,214.991959
Ghana,Ghana,169.289856,-331.266724
Grenada,Grenada,93.53672,-120.704369
Guinea,Guinea,81.946434,-428.679962
Haiti,Haiti,-306.127899,-363.862946
Honduras,Honduras,-236.157532,-414.452972
Italy,Italy,-571.301453,255.218979
Papua New Guinea,Papua New Guinea,-320.186035,-176.069473
Iraq,Iraq,-245.509674,379.196564
Jordan,Jordan,-78.110794,366.92923
Ireland,Ireland,-70.335999,647.899231
Romania,Romania,-246.255707,622.580688
Iceland,Iceland,773.11554,250.757034
Kuwait,Kuwait,-2.064948,77.107742
Lao People's Dem. Rep.,Lao People's Dem. Rep.,-51.708603,-208.498856
Argentina,Argentina,-32.268047,727.311157
Spain,Spain,-281.717133,759.387085
Japan,Japan,-661.382385,279.48645
Rep. of Korea,Rep. of Korea,-751.472412,296.265808
Mali,Mali,295.995026,-22.01532
Malta,Malta,139.161621,-145.279037
Mongolia,Mongolia,113.900566,368.096619
Myanmar,Myanmar,-365.480652,133.156708
Nauru,Nauru,-475.613525,-143.671997
Nicaragua,Nicaragua,-248.750916,-501.772827
Nigeria,Nigeria,265.815948,-54.208736
Palestinian,Palestinian,-355.181732,395.700165
Qatar,Qatar,36.822628,-416.524017
Denmark,Denmark,834.896118,12.444393
Saudi Arabia,Saudi Arabia,-92.464508,-249.87027
Singapore,Singapore,-97.601746,-201.348923
Somalia,Somalia,333.432159,476.104187
South Sudan,South Sudan,391.897919,227.169922
Syrian Arab Rep.,Syrian Arab Rep.,-189.169861,237.603271
Tajikistan,Tajikistan,164.071182,322.319611
Togo,Togo,20.82583,-466.406586
Bulgaria,Bulgaria,-462.194855,619.329834
Slovenia,Slovenia,-527.559875,540.666809
Unknown,Unknown,206.937683,-646.648804
Yemen,Yemen,-88.978531,169.984497
Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),-335.776764,-432.557159
Viet Nam,Viet Nam,-442.876587,43.437729
