origin,dest_a,flow_a,dest_b,flow_b
Afghanistan,Egypt,16,Canada,16
Afghanistan,India,330,Australia,142
Afghanistan,India,330,Canada,81
Afghanistan,India,330,United States of America,107
Afghanistan,Indonesia,751,Australia,217
Afghanistan,Indonesia,751,Canada,121
Afghanistan,Indonesia,751,United States of America,413
Afghanistan,Iran,1403,Australia,507
Afghanistan,Iran,1403,Finland,756
Afghanistan,Iran,1403,United Kingdom,90
Afghanistan,Iran,1403,Italy,50
Afghanistan,Lebanon,6,Canada,6
Afghanistan,Sri Lanka,14,United States of America,14
Afghanistan,Madagascar,11,United States of America,11
Afghanistan,Malaysia,428,Australia,17
Afghanistan,Malaysia,428,Canada,148
Afghanistan,Malaysia,428,Netherlands,20
Afghanistan,Malaysia,428,New Zealand,34
Afghanistan,Malaysia,428,United States of America,209
Afghanistan,Morocco,7,Canada,7
Afghanistan,Nepal,9,Sweden,9
Afghanistan,Pakistan,338,Australia,38
Afghanistan,Pakistan,338,Canada,206
Afghanistan,Pakistan,338,United Kingdom,11
Afghanistan,Pakistan,338,Italy,72
Afghanistan,Pakistan,338,United States of America,11
Afghanistan,Thailand,21,Canada,8
Afghanistan,Thailand,21,United States of America,13
Afghanistan,Türkiye,2963,Australia,285
Afghanistan,Türkiye,2963,Canada,347
Afghanistan,Türkiye,2963,Italy,41
Afghanistan,Türkiye,2963,Norway,36
Afghanistan,Türkiye,2963,United States of America,2254
Afghanistan,United Arab Emirates,5,Finland,5
Burundi,DR Congo,8,Finland,8
Burundi,Ethiopia,6,France,6
Burundi,Kenya,31,United States of America,31
Burundi,Malawi,56,United States of America,56
Burundi,Mozambique,5,United States of America,5
Burundi,South Africa,40,United States of America,40
Burundi,Rwanda,82,Canada,46
Burundi,Rwanda,82,France,19
Burundi,Rwanda,82,United States of America,17
Burundi,Tanzania,80,Canada,22
Burundi,Tanzania,80,Finland,5
Burundi,Tanzania,80,France,5
Burundi,Tanzania,80,United States of America,48
Burundi,Uganda,72,United States of America,72
Burundi,Zambia,14,United States of America,14
Burundi,Zimbabwe,50,United States of America,50
Central African Republic,Algeria,18,Canada,13
Central African Republic,Algeria,18,United States of America,5
Central African Republic,Chad,655,Australia,54
Central African Republic,Chad,655,Canada,13
Central African Republic,Chad,655,France,183
Central African Republic,Chad,655,Norway,12
Central African Republic,Chad,655,United States of America,393
Central African Republic,Cameroon,843,Canada,214
Central African Republic,Cameroon,843,France,357
Central African Republic,Cameroon,843,United States of America,272
Central African Republic,DR Congo,5,Canada,5
Central African Republic,Mauritania,5,United States of America,5
Central African Republic,Morocco,19,Canada,19
DR Congo,Algeria,6,United States of America,6
DR Congo,Burundi,4290,Australia,324
DR Congo,Burundi,4290,Canada,487
DR Congo,Burundi,4290,United States of America,3479
DR Congo,Cameroon,12,Australia,12
DR Congo,Ethiopia,57,France,15
DR Congo,Ethiopia,57,United States of America,42
DR Congo,Kenya,1025,Australia,201
DR Congo,Kenya,1025,Canada,48
DR Congo,Kenya,1025,Germany,6
DR Congo,Kenya,1025,Netherlands,108
DR Congo,Kenya,1025,Norway,124
DR Congo,Kenya,1025,United States of America,538
DR Congo,Malawi,710,Australia,165
DR Congo,Malawi,710,Canada,58
DR Congo,Malawi,710,Finland,9
DR Congo,Malawi,710,Norway,10
DR Congo,Malawi,710,United States of America,468
DR Congo,Morocco,18,Canada,9
DR Congo,Morocco,18,United States of America,9
DR Congo,Mozambique,129,France,7
DR Congo,Mozambique,129,United States of America,122
DR Congo,Namibia,136,Canada,136
DR Congo,Peru,5,Canada,5
DR Congo,South Africa,429,Canada,113
DR Congo,South Africa,429,United States of America,316
DR Congo,Rwanda,7226,Australia,125
DR Congo,Rwanda,7226,Belgium,154
DR Congo,Rwanda,7226,Canada,964
DR Congo,Rwanda,7226,Denmark,149
DR Congo,Rwanda,7226,France,222
DR Congo,Rwanda,7226,Norway,546
DR Congo,Rwanda,7226,New Zealand,80
DR Congo,Rwanda,7226,United States of America,4986
DR Congo,Senegal,6,Finland,6
DR Congo,Tanzania,7747,Australia,40
DR Congo,Tanzania,7747,Canada,337
DR Congo,Tanzania,7747,United States of America,7370
DR Congo,Uganda,3077,Canada,46
DR Congo,Uganda,3077,Norway,22
DR Congo,Uganda,3077,Sweden,155
DR Congo,Uganda,3077,United States of America,2854
DR Congo,Zambia,838,Finland,164
DR Congo,Zambia,838,Sweden,30
DR Congo,Zambia,838,United States of America,644
DR Congo,Zimbabwe,636,France,9
DR Congo,Zimbabwe,636,United States of America,627
Colombia,Curacao,8,Australia,8
Colombia,Ecuador,1032,Canada,125
Colombia,Ecuador,1032,New Zealand,62
Colombia,Ecuador,1032,United States of America,845
Colombia,Peru,22,Canada,8
Colombia,Peru,22,United States of America,14
Cuba,Colombia,11,United States of America,11
Cuba,Dominican Republic,5,United States of America,5
Cuba,Peru,8,United States of America,8
Cuba,Trinidad and Tobago,76,Australia,9
Cuba,Trinidad and Tobago,76,Canada,11
Cuba,Trinidad and Tobago,76,United States of America,56
Eritrea,Egypt,361,Belgium,8
Eritrea,Egypt,361,Canada,90
Eritrea,Egypt,361,France,17
Eritrea,Egypt,361,United Kingdom,6
Eritrea,Egypt,361,Germany,106
Eritrea,Egypt,361,Netherlands,47
Eritrea,Egypt,361,Portugal,6
Eritrea,Egypt,361,United States of America,81
Eritrea,Ethiopia,608,Canada,18
Eritrea,Ethiopia,608,France,77
Eritrea,Ethiopia,608,Norway,82
Eritrea,Ethiopia,608,New Zealand,45
Eritrea,Ethiopia,608,Sweden,5
Eritrea,Ethiopia,608,United States of America,381
Eritrea,Israel,373,Canada,70
Eritrea,Israel,373,Norway,8
Eritrea,Israel,373,United States of America,295
Eritrea,Libya,21,Canada,6
Eritrea,Libya,21,Norway,15
Eritrea,Niger,193,Canada,79
Eritrea,Niger,193,Germany,101
Eritrea,Niger,193,Netherlands,13
Eritrea,South Africa,5,United States of America,5
Eritrea,Rwanda,285,Canada,86
Eritrea,Rwanda,285,Finland,45
Eritrea,Rwanda,285,France,27
Eritrea,Rwanda,285,Norway,31
Eritrea,Rwanda,285,United States of America,96
Eritrea,Sudan,217,Canada,200
Eritrea,Sudan,217,Sweden,17
Eritrea,Tunisia,6,United States of America,6
Eritrea,Uganda,13,United States of America,13
Ethiopia,Egypt,181,Australia,13
Ethiopia,Egypt,181,Belgium,18
Ethiopia,Egypt,181,Canada,86
Ethiopia,Egypt,181,France,11
Ethiopia,Egypt,181,United Kingdom,10
Ethiopia,Egypt,181,Germany,9
Ethiopia,Egypt,181,United States of America,34
Ethiopia,Indonesia,24,Canada,6
Ethiopia,Indonesia,24,United States of America,18
Ethiopia,Kenya,372,Australia,172
Ethiopia,Kenya,372,Canada,5
Ethiopia,Kenya,372,Iceland,7
Ethiopia,Kenya,372,Sweden,8
Ethiopia,Kenya,372,United States of America,180
Ethiopia,Lebanon,8,United States of America,8
Ethiopia,Niger,5,Canada,5
Ethiopia,South Africa,47,United States of America,47
Ethiopia,Rwanda,9,Canada,9
Ethiopia,Sudan,8,Canada,8
Palestinian,Egypt,5,Canada,5
Palestinian,Iraq,58,United Kingdom,46
Palestinian,Iraq,58,United States of America,12
Palestinian,Malaysia,5,United States of America,5
Palestinian,Thailand,22,Australia,11
Palestinian,Thailand,22,Canada,11
Palestinian,Türkiye,18,United States of America,18
Guatemala,Mexico,11,Canada,11
Haiti,Dominican Republic,121,Canada,23
Haiti,Dominican Republic,121,United States of America,98
Honduras,Guatemala,38,Canada,9
Honduras,Guatemala,38,United States of America,29
Honduras,Mexico,18,Canada,9
Honduras,Mexico,18,United States of America,9
Iran,Australia,58,New Zealand,51
Iran,Australia,58,United States of America,7
Iran,Indonesia,63,Australia,6
Iran,Indonesia,63,Canada,7
Iran,Indonesia,63,United States of America,50
Iran,Sri Lanka,6,United States of America,6
Iran,Malaysia,5,Canada,5
Iran,Papua New Guinea,16,New Zealand,16
Iran,Türkiye,803,Australia,52
Iran,Türkiye,803,Canada,40
Iran,Türkiye,803,United Kingdom,8
Iran,Türkiye,803,Italy,6
Iran,Türkiye,803,Portugal,47
Iran,Türkiye,803,United States of America,650
Iraq,Egypt,6,Australia,6
Iraq,Indonesia,55,Australia,5
Iraq,Indonesia,55,Canada,8
Iraq,Indonesia,55,New Zealand,22
Iraq,Indonesia,55,United States of America,20
Iraq,Jordan,282,Australia,24
Iraq,Jordan,282,Canada,144
Iraq,Jordan,282,United States of America,114
Iraq,Lebanon,345,Australia,245
Iraq,Lebanon,345,Canada,51
Iraq,Lebanon,345,United States of America,49
Iraq,Malaysia,7,Canada,7
Iraq,Türkiye,1466,Australia,326
Iraq,Türkiye,1466,Canada,39
Iraq,Türkiye,1466,United Kingdom,26
Iraq,Türkiye,1466,United States of America,1075
Iraq,United Arab Emirates,25,Canada,18
Iraq,United Arab Emirates,25,United States of America,7
Myanmar,Bangladesh,236,Canada,84
Myanmar,Bangladesh,236,United States of America,152
Myanmar,India,64,Canada,6
Myanmar,India,64,United States of America,58
Myanmar,Indonesia,97,Canada,43
Myanmar,Indonesia,97,United Kingdom,5
Myanmar,Indonesia,97,New Zealand,7
Myanmar,Indonesia,97,United States of America,42
Myanmar,Iran,34,New Zealand,34
Myanmar,Malaysia,5168,Australia,25
Myanmar,Malaysia,5168,Canada,227
Myanmar,Malaysia,5168,France,14
Myanmar,Malaysia,5168,United Kingdom,7
Myanmar,Malaysia,5168,Japan,47
Myanmar,Malaysia,5168,Republic of Korea,5
Myanmar,Malaysia,5168,Netherlands,21
Myanmar,Malaysia,5168,Norway,9
Myanmar,Malaysia,5168,New Zealand,71
Myanmar,Malaysia,5168,United States of America,4742
Myanmar,Thailand,1250,Australia,36
Myanmar,Thailand,1250,Canada,31
Myanmar,Thailand,1250,New Zealand,21
Myanmar,Thailand,1250,United States of America,1162
Nicaragua,Costa Rica,362,United States of America,362
Nicaragua,Guatemala,29,United States of America,29
Nicaragua,Honduras,7,United States of America,7
Nigeria,Cameroon,7,France,7
Nigeria,Niger,150,Canada,131
Nigeria,Niger,150,France,10
Nigeria,Niger,150,United States of America,9
Pakistan,China,6,Canada,6
Pakistan,Indonesia,54,Canada,5
Pakistan,Indonesia,54,New Zealand,9
Pakistan,Indonesia,54,United States of America,40
Pakistan,Sri Lanka,112,Australia,40
Pakistan,Sri Lanka,112,United Kingdom,5
Pakistan,Sri Lanka,112,United States of America,67
Pakistan,Madagascar,47,United States of America,47
Pakistan,Malaysia,560,Australia,7
Pakistan,Malaysia,560,Canada,101
Pakistan,Malaysia,560,Netherlands,26
Pakistan,Malaysia,560,New Zealand,38
Pakistan,Malaysia,560,United States of America,388
Pakistan,Thailand,193,Australia,78
Pakistan,Thailand,193,Canada,5
Pakistan,Thailand,193,United States of America,110
Pakistan,Türkiye,13,United States of America,13
Rwanda,Kenya,6,United States of America,6
Rwanda,Malawi,12,United States of America,12
Rwanda,South Africa,20,United States of America,20
Rwanda,Uganda,39,United States of America,39
Rwanda,Zimbabwe,36,United States of America,36
El Salvador,Guatemala,43,United States of America,43
El Salvador,Mexico,6,Canada,6
Somalia,Egypt,71,Canada,6
Somalia,Egypt,71,Germany,28
Somalia,Egypt,71,Netherlands,6
Somalia,Egypt,71,United States of America,31
Somalia,Australia,14,New Zealand,6
Somalia,Australia,14,United States of America,8
Somalia,Djibouti,5,Sweden,5
Somalia,Ethiopia,371,Canada,232
Somalia,Ethiopia,371,New Zealand,5
Somalia,Ethiopia,371,United States of America,134
Somalia,India,87,Australia,5
Somalia,India,87,Canada,28
Somalia,India,87,United States of America,54
Somalia,Indonesia,122,Canada,27
Somalia,Indonesia,122,United States of America,95
Somalia,Jordan,76,United States of America,76
Somalia,Kenya,705,Canada,115
