Round,Oblast,Recorded IDPs,IDPs remaining from last round,New IDPs,Departed IDPs,% change from last round,Change from last round,% of total IDPs this round,Share of total,Data Collected
1,Zakarpatska,"184,676",,"184,676",,,1st round collected for this oblast,50%,50% of total recorded IDPs this round,March 9 2022-March 16 2022
2,Lvivska,"66,678",,"66,678",,,1st round collected for this oblast,20%,20% of total recorded IDPs this round,March 24 2022-April 1 2022
2,Zakarpatska,"100,587","100,587",,"84,089",-46%,-46% fewer IDPs this round,30%,30% of total recorded IDPs this round,March 24 2022-April 1 2022
3,Chernivetska,"74,816",,"74,816",,,1st round collected for this oblast,5%,5% of total recorded IDPs this round,April 11 2022 - April 17 2022
3,Ivano-Frankivska,"72,333",,"72,333",,,1st round collected for this oblast,4%,4% of total recorded IDPs this round,April 11 2022 - April 17 2022
3,Khmelnytska,"65,833",,"65,833",,,1st round collected for this oblast,4%,4% of total recorded IDPs this round,April 11 2022 - April 17 2022
3,Kirovohradska,"75,849",,"75,849",,,1st round collected for this oblast,5%,5% of total recorded IDPs this round,April 11 2022 - April 17 2022
3,Lvivska,"141,546","66,678","74,868",,112%,112% more IDPs this round,9%,9% of total recorded IDPs this round,April 11 2022 - April 17 2022
3,Vinnytska,"163,427",,"163,427",,,1st round collected for this oblast,10%,10% of total recorded IDPs this round,April 11 2022 - April 17 2022
3,Zakarpatska,"118,316","100,587","17,729",,18%,18% more IDPs this round,7%,7% of total recorded IDPs this round,April 11 2022 - April 17 2022
3,Zhytomyrska,"94,255",,"94,255",,,1st round collected for this oblast,6%,6% of total recorded IDPs this round,April 11 2022 - April 17 2022
4,Chernivetska,"84,940","74,816","10,124",,14%,14% more IDPs this round,4%,4% of total recorded IDPs this round,May 16 2022- May 31 2022
4,Ivano-Frankivska,"124,081","72,333","51,748",,72%,72% more IDPs this round,5%,5% of total recorded IDPs this round,May 16 2022- May 31 2022
4,Khmelnytska,"132,187","65,833","66,354",,101%,101% more IDPs this round,6%,6% of total recorded IDPs this round,May 16 2022- May 31 2022
4,Kirovohradska,"77,622","75,849","1,773",,2%,2% more IDPs this round,3%,3% of total recorded IDPs this round,May 16 2022- May 31 2022
4,Lvivska,"155,228","141,546","13,682",,10%,10% more IDPs this round,7%,7% of total recorded IDPs this round,May 16 2022- May 31 2022
4,Poltavska,"179,648",,"179,648",,,1st round collected for this oblast,8%,8% of total recorded IDPs this round,May 16 2022- May 31 2022
4,Vinnytska,"162,482","162,482",,945,-1%,-1% fewer IDPs this round,7%,7% of total recorded IDPs this round,May 16 2022- May 31 2022
4,Zakarpatska,"147,614","118,316","29,298",,25%,25% more IDPs this round,6%,6% of total recorded IDPs this round,May 16 2022- May 31 2022
4,Zhytomyrska,"91,658","91,658",,"2,597",-3%,-3% fewer IDPs this round,4%,4% of total recorded IDPs this round,May 16 2022- May 31 2022
5,Chernivetska,"81,627","81,627",,"3,313",-4%,-4% fewer IDPs this round,3%,3% of total recorded IDPs this round,June 1 2022-Jun 11 2022
5,Ivano-Frankivska,"115,817","115,817",,"8,264",-7%,-7% fewer IDPs this round,4%,4% of total recorded IDPs this round,June 1 2022-Jun 11 2022
5,Khmelnytska,"122,213","122,213",,"9,974",-8%,-8% fewer IDPs this round,4%,4% of total recorded IDPs this round,June 1 2022-Jun 11 2022
5,Kirovohradska,"79,822","77,622","2,200",,3%,3% more IDPs this round,3%,3% of total recorded IDPs this round,June 1 2022-Jun 11 2022
5,Kyivska,"85,960",,"85,960",,,1st round collected for this oblast,3%,3% of total recorded IDPs this round,June 1 2022-Jun 11 2022
5,Lvivska,"143,526","143,526",,"11,702",-8%,-8% fewer IDPs this round,5%,5% of total recorded IDPs this round,June 1 2022-Jun 11 2022
5,Odeska,"80,870",,"80,870",,,1st round collected for this oblast,3%,3% of total recorded IDPs this round,June 1 2022-Jun 11 2022
5,Poltavska,"180,161","179,648",513,,0%,0% more IDPs this round,6%,6% of total recorded IDPs this round,June 1 2022-Jun 11 2022
5,Ternopilska,"88,708",,"88,708",,,1st round collected for this oblast,3%,3% of total recorded IDPs this round,June 1 2022-Jun 11 2022
5,Vinnytska,"171,461","162,482","8,979",,6%,6% more IDPs this round,6%,6% of total recorded IDPs this round,June 1 2022-Jun 11 2022
5,Volynska,"59,155",,"59,155",,,1st round collected for this oblast,2%,2% of total recorded IDPs this round,June 1 2022-Jun 11 2022
5,Zakarpatska,"150,184","147,614","2,570",,2%,2% more IDPs this round,5%,5% of total recorded IDPs this round,June 1 2022-Jun 11 2022
5,Zhytomyrska,"89,746","89,746",,"1,912",-2%,-2% fewer IDPs this round,3%,3% of total recorded IDPs this round,June 1 2022-Jun 11 2022
6,Cherkaska,"141,970",,"141,970",,,1st round collected for this oblast,3%,3% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Chernihivska,"76,309",,"76,309",,,1st round collected for this oblast,2%,2% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Chernivetska,"79,581","79,581",,"2,046",-3%,-3% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Dnipropetrovska,"255,894",,"255,894",,,1st round collected for this oblast,6%,6% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Ivano-Frankivska,"94,053","94,053",,"21,764",-19%,-19% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Khmelnytska,"115,269","115,269",,"6,944",-6%,-6% fewer IDPs this round,3%,3% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Kirovohradska,"80,097","79,822",275,,0%,0% more IDPs this round,2%,2% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Kyivska,"283,937","85,960","197,977",,230%,230% more IDPs this round,7%,7% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Lvivska,"115,981","115,981",,"27,545",-19%,-19% fewer IDPs this round,3%,3% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Odeska,"81,937","80,870","1,067",,1%,1% more IDPs this round,2%,2% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Poltavska,"187,831","180,161","7,670",,4%,4% more IDPs this round,4%,4% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Rivnenska,"52,170",,"52,170",,,1st round collected for this oblast,1%,1% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Sumska,"46,117",,"46,117",,,1st round collected for this oblast,1%,1% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Ternopilska,"88,975","88,708",267,,0%,0% more IDPs this round,2%,2% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Vinnytska,"176,129","171,461","4,668",,3%,3% more IDPs this round,4%,4% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Volynska,"57,512","57,512",,"1,643",-3%,-3% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Zakarpatska,"173,168","150,184","22,984",,15%,15% more IDPs this round,4%,4% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Zhytomyrska,"76,482","76,482",,"13,264",-15%,-15% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
7,Cherkaska,"142,414","141,970",444,,0%,0% more IDPs this round,3%,3% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Chernihivska,"76,616","76,309",307,,0%,0% more IDPs this round,2%,2% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Chernivetska,"77,284","77,284",,"2,297",-3%,-3% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Dnipropetrovska,"261,724","255,894","5,830",,2%,2% more IDPs this round,6%,6% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Ivano-Frankivska,"110,823","94,053","16,770",,18%,18% more IDPs this round,2%,2% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Khmelnytska,"111,507","111,507",,"3,762",-3%,-3% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Kirovohradska,"81,691","80,097","1,594",,2%,2% more IDPs this round,2%,2% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Kyivska,"287,888","283,937","3,951",,1%,1% more IDPs this round,6%,6% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Lvivska,"102,954","102,954",,"13,027",-11%,-11% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Odeska,"85,051","81,937","3,114",,4%,4% more IDPs this round,2%,2% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Poltavska,"190,310","187,831","2,479",,1%,1% more IDPs this round,4%,4% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Rivnenska,"52,170","52,170",,,0%,no change from last round,1%,1% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Sumska,"43,240","43,240",,"2,877",-6%,-6% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Ternopilska,"85,204","85,204",,"3,771",-4%,-4% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Vinnytska,"177,288","176,129","1,159",,1%,1% more IDPs this round,4%,4% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Volynska,"58,591","57,512","1,079",,2%,2% more IDPs this round,1%,1% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Zakarpatska,"164,164","164,164",,"9,004",-5%,-5% fewer IDPs this round,4%,4% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Zaporizka,"150,388",,"150,388",,,1st round collected for this oblast,3%,3% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Zhytomyrska,"75,245","75,245",,"1,237",-2%,-2% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
8,Cherkaska,"143,259","142,414",845,,1%,1% more IDPs this round,3%,3% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Chernihivska,"76,906","76,616",290,,0%,0% more IDPs this round,2%,2% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Chernivetska,"75,879","75,879",,"1,405",-2%,-2% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Dnipropetrovska,"272,076","261,724","10,352",,4%,4% more IDPs this round,6%,6% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Ivano-Frankivska,"94,943","94,943",,"15,880",-14%,-14% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Khmelnytska,"108,796","108,796",,"2,711",-2%,-2% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Kirovohradska,"82,728","81,691","1,037",,1%,1% more IDPs this round,2%,2% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Kyivska,"293,781","287,888","5,893",,2%,2% more IDPs this round,6%,6% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Lvivska,"106,073","102,954","3,119",,3%,3% more IDPs this round,2%,2% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Odeska,"88,255","85,051","3,204",,4%,4% more IDPs this round,2%,2% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Poltavska,"191,848","190,310","1,538",,1%,1% more IDPs this round,4%,4% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Rivnenska,"63,931","52,170","11,761",,23%,23% more IDPs this round,1%,1% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Sumska,"47,570","43,240","4,330",,10%,10% more IDPs this round,1%,1% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
