day,approved,approved_percent,denied,denied_percent,STEM,STEM_percent,SocSciLaw,SocSciLaw_percent,MedEd,MedEd_percent,Arts,Arts_percent,Business,Business_percent,Religion,Religion_percent,Misc,Misc_percent
4/4/23,6,0.010729806,0,0,6,0.010729806,0,0,0,0,0,0,0,0,0,0,0,0
4/5/23,12,0.021459611,0,0,12,0.021459611,0,0,0,0,0,0,0,0,0,0,0,0
4/6/23,25,0.044707523,0,0,25,0.044707523,0,0,0,0,0,0,0,0,0,0,0,0
4/7/23,34,0.060802232,0,0,34,0.060802232,0,0,0,0,0,0,0,0,0,0,0,0
4/8/23,35,0.062590533,0,0,34,0.060802232,0,0,0,0,0,0,1,0.001788301,0,0,0,0
4/10/23,62,0.110874658,0,0,58,0.103721454,0,0,0,0,0,0,3,0.005364903,0,0,1,0.001788301
4/11/23,111,0.198501404,0,0,102,0.182406695,0,0,0,0,0,0,8,0.014306407,0,0,1,0.001788301
4/12/23,154,0.275398344,0,0,142,0.253938733,1,0.001788301,0,0,1,0.001788301,9,0.016094708,0,0,1,0.001788301
4/13/23,222,0.397002808,0,0,207,0.370178294,2,0.003576602,0,0,1,0.001788301,10,0.017883009,0,0,2,0.003576602
4/14/23,271,0.484629553,0,0,252,0.450651836,3,0.005364903,0,0,1,0.001788301,13,0.023247912,0,0,2,0.003576602
4/15/23,288,0.515030669,0,0,267,0.47747635,3,0.005364903,0,0,1,0.001788301,15,0.026824514,0,0,2,0.003576602
4/16/23,292,0.522183873,0,0,271,0.484629553,3,0.005364903,0,0,1,0.001788301,15,0.026824514,0,0,2,0.003576602
4/17/23,397,0.709955471,0,0,363,0.64915324,6,0.010729806,0,0,3,0.005364903,23,0.041130922,0,0,2,0.003576602
4/18/23,506,0.904880273,0,0,457,0.817253527,8,0.014306407,0,0,5,0.008941505,33,0.059013931,0,0,3,0.005364903
4/19/23,617,1.103381677,0,0,561,1.003236825,8,0.014306407,0,0,5,0.008941505,40,0.071532037,0,0,3,0.005364903
4/20/23,751,1.343014002,0,0,677,1.210679733,9,0.016094708,0,0,7,0.012518107,55,0.098356551,0,0,3,0.005364903
4/21/23,866,1.54866861,0,0,775,1.385933225,12,0.021459611,1,0.001788301,11,0.01967131,64,0.11445126,0,0,3,0.005364903
4/22/23,894,1.598741036,0,0,803,1.436005651,12,0.021459611,1,0.001788301,11,0.01967131,64,0.11445126,0,0,3,0.005364903
4/23/23,904,1.616624045,0,0,810,1.448523758,12,0.021459611,1,0.001788301,11,0.01967131,67,0.119816163,0,0,3,0.005364903
4/24/23,1086,1.942094816,0,0,962,1.7203455,14,0.025036213,3,0.005364903,12,0.021459611,91,0.162735385,0,0,4,0.007153204
4/25/23,1262,2.25683578,0,0,1111,1.986802339,14,0.025036213,5,0.008941505,16,0.028612815,112,0.200289705,0,0,4,0.007153204
4/26/23,1437,2.569788444,0,0,1258,2.249682577,16,0.028612815,8,0.014306407,17,0.030401116,133,0.237844024,0,0,5,0.008941505
4/27/23,1608,2.875587904,0,0,1412,2.525080921,17,0.030401116,8,0.014306407,18,0.032189417,147,0.262880237,0,0,6,0.010729806
4/28/23,1763,3.152774549,0,0,1550,2.77186645,18,0.032189417,8,0.014306407,20,0.035766019,161,0.287916451,0,0,6,0.010729806
4/29/23,1803,3.224306586,0,0,1586,2.836245283,18,0.032189417,8,0.014306407,20,0.035766019,165,0.295069654,0,0,6,0.010729806
5/1/23,2025,3.621309394,0,0,1763,3.152774549,24,0.042919222,10,0.017883009,23,0.041130922,198,0.354083585,0,0,7,0.012518107
5/2/23,2271,4.061231424,0,0,1974,3.530106046,33,0.059013931,13,0.023247912,25,0.044707523,219,0.391637905,0,0,7,0.012518107
5/3/23,2485,4.443927824,0,0,2161,3.864518321,39,0.069743736,16,0.028612815,25,0.044707523,237,0.423827322,0,0,7,0.012518107
5/4/23,2696,4.821259322,0,0,2336,4.177470985,43,0.07689694,18,0.032189417,27,0.048284125,263,0.470323146,0,0,9,0.016094708
5/5/23,2834,5.068044851,0,0,2450,4.381337291,45,0.080473542,19,0.033977718,29,0.051860727,281,0.502512563,0,0,10,0.017883009
5/6/23,2872,5.136000286,0,0,2481,4.43677462,45,0.080473542,19,0.033977718,29,0.051860727,288,0.515030669,0,0,10,0.017883009
5/7/23,2894,5.175342907,0,0,2502,4.47432894,45,0.080473542,19,0.033977718,29,0.051860727,289,0.51681897,0,0,10,0.017883009
5/8/23,3127,5.592017025,0,0,2694,4.81768272,49,0.087626746,22,0.039342621,30,0.053649028,322,0.575832901,0,0,10,0.017883009
5/9/23,3372,6.030150754,0,0,2899,5.184284411,57,0.101933153,25,0.044707523,32,0.05722563,348,0.622328725,0,0,11,0.01967131
5/10/23,3611,6.457554677,0,0,3094,5.533003094,59,0.105509755,27,0.048284125,33,0.059013931,387,0.692072462,0,0,11,0.01967131
5/11/23,3814,6.820579767,0,0,3266,5.840590855,65,0.116239561,28,0.050072426,35,0.062590533,409,0.731415083,0,0,11,0.01967131
5/12/23,4006,7.163933547,0,0,3407,6.092741287,68,0.121604464,29,0.051860727,41,0.073320338,450,0.804735421,0,0,11,0.01967131
5/13/23,4078,7.292691214,0,0,3470,6.205404245,70,0.125181065,29,0.051860727,43,0.07689694,455,0.813676926,0,0,11,0.01967131
5/14/23,4096,7.324880631,0,0,3485,6.232228759,71,0.126969366,29,0.051860727,43,0.07689694,457,0.817253527,0,0,11,0.01967131
5/15/23,4389,7.848852805,0,0,3718,6.648902877,78,0.139487473,32,0.05722563,45,0.080473542,501,0.895938769,0,0,15,0.026824514
5/16/23,4622,8.265526923,0,0,3897,6.969008745,87,0.155582181,35,0.062590533,48,0.085838445,540,0.965682505,0,0,15,0.026824514
5/17/23,4885,8.735850069,0,0,4100,7.332033835,94,0.168100288,41,0.073320338,50,0.089415047,585,1.046156047,0,0,15,0.026824514
5/18/23,5111,9.14000608,0,0,4283,7.659292906,100,0.178830094,44,0.078685241,51,0.091203348,617,1.103381677,0,0,16,0.028612815
5/19/23,5311,9.497666267,0,0,4446,7.950785958,102,0.182406695,46,0.082261843,55,0.098356551,646,1.155242404,0,0,16,0.028612815
5/20/23,5390,9.638942041,0,0,4518,8.079543626,103,0.184194996,47,0.084050144,55,0.098356551,651,1.164183909,0,0,16,0.028612815
5/21/23,5437,9.722992185,0,0,4556,8.147499061,104,0.185983297,47,0.084050144,55,0.098356551,659,1.178490316,0,0,16,0.028612815
5/22/23,5721,10.23086965,0,0,4777,8.542713568,113,0.202078006,51,0.091203348,60,0.107298056,704,1.258963858,0,0,16,0.028612815
5/23/23,6056,10.82995046,0,0,5038,9.009460112,122,0.218172714,54,0.096568251,61,0.109086357,762,1.362685313,0,0,19,0.033977718
5/24/23,6400,11.44512599,0,0,5299,9.476206656,136,0.243208927,64,0.11445126,67,0.119816163,813,1.45388866,0,0,21,0.03755432
5/25/23,6672,11.93154384,0,0,5520,9.871421163,140,0.250362131,67,0.119816163,70,0.125181065,853,1.525420698,0,0,22,0.039342621
5/26/23,6968,12.46088092,1,0.001788301,5756,10.29346018,144,0.257515335,73,0.130545968,72,0.128757667,901,1.611259143,0,0,23,0.041130922
5/27/23,7081,12.66295892,1,0.001788301,5851,10.46334877,144,0.257515335,73,0.130545968,73,0.130545968,918,1.641660259,0,0,23,0.041130922
5/28/23,7097,12.69157174,1,0.001788301,5867,10.49196159,144,0.257515335,73,0.130545968,73,0.130545968,918,1.641660259,0,0,23,0.041130922
5/29/23,7238,12.94372217,2,0.003576602,5977,10.68867469,149,0.266456839,74,0.132334269,76,0.135910871,941,1.68279118,0,0,23,0.041130922
5/30/23,7512,13.43371663,3,0.005364903,6183,11.05706468,159,0.284339849,82,0.146640677,81,0.144852376,986,1.763264722,0,0,24,0.042919222
5/31/23,7854,14.04531555,3,0.005364903,6440,11.51665802,174,0.311164363,88,0.157370482,83,0.148428978,1045,1.868774477,0,0,27,0.048284125
6/1/23,8158,14.58895903,3,0.005364903,6660,11.91008423,194,0.346930381,93,0.166311987,85,0.152005579,1102,1.970707631,0,0,27,0.048284125
6/2/23,8467,15.14154402,5,0.008941505,6891,12.32318175,201,0.359448488,99,0.177041793,91,0.162735385,1163,2.079793988,0,0,27,0.048284125
6/3/23,8602,15.38296465,5,0.008941505,7006,12.52883635,202,0.361236789,99,0.177041793,93,0.166311987,1180,2.110195104,0,0,27,0.048284125
6/4/23,8628,15.42946047,5,0.008941505,7029,12.56996727,202,0.361236789,100,0.178830094,93,0.166311987,1182,2.113771706,0,0,27,0.048284125
6/5/23,8967,16.03569449,5,0.008941505,7299,13.05280853,210,0.375543196,110,0.196713103,95,0.169888589,1231,2.201398451,0,0,27,0.048284125
6/6/23,9328,16.68127112,5,0.008941505,7571,13.53922638,223,0.398791109,114,0.203866307,101,0.180618394,1296,2.317638012,0,0,28,0.050072426
6/7/23,9640,17.23922102,6,0.010729806,7810,13.9666303,232,0.414885817,119,0.212807811,105,0.187771598,1352,2.417782865,0,0,28,0.050072426
6/8/23,9972,17.83293693,8,0.014306407,8083,14.45483646,241,0.430980525,124,0.221749316,109,0.194924802,1394,2.492891504,0,0,29,0.051860727
6/9/23,10215,18.26749405,9,0.016094708,8256,14.76421252,248,0.443498632,128,0.22890252,115,0.205654608,1447,2.587671453,0,0,30,0.053649028
6/10/23,10317,18.44990075,9,0.016094708,8335,14.9054883,253,0.452440137,131,0.234267423,116,0.207442908,1460,2.610919366,0,0,31,0.055437329
