Main ID,Incident ID,Incident Type,Region of Incident,Incident Date,Incident Year,Month,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Country of Origin,Region of Origin,Cause of Death,Country of Incident,Migration Route,Location of Incident,Coordinates,UNSD Geographical Grouping,Information Source,URL,Source Quality,DistanceFromCapital
2024.MMP0001,2024.MMP0001,Incident,Central America,2024/1/1,2024,January,1,,1,2,,,1,Venezuela (Bolivarian Republic of),South America,Vehicle accident / death linked to hazardous transport,Mexico,,"Train tracks by Arroyo San Miguel, close to Buena Vista, El Carmen municipality, Nuevo León, Mexico","25.86259868, -100.3500231",Central America,"Sin Embargo, Lopez Doriga",https://archive.ph/RszVj,3,3909.654356
2024.MMP0002,2024.MMP0002,Incident,Central America,2024/1/2,2024,January,1,,1,5,1,,,Honduras,Central America,Vehicle accident / death linked to hazardous transport,Mexico,US-Mexico border crossing,"San Juanero bridge in La Tembladora, around 55km south of Piedras Negras, Coahuila, Mexico","28.31004128, -100.9030462",Central America,"El Heraldo Honduras, El Diario de Coahuila",https://archive.ph/ieAAb,3,2120.315679
2024.MMP0010,2024.MMP0010,Incident,Central America,2024/1/7,2024,January,1,,1,,,1,,Mexico,Central America,Drowning,Mexico,US-Mexico border crossing,"Near border wall off the beach of Playas de Tijuana, Baja California, Mexico","32.534262, -117.124671",Central America,Telemundo 20,https://archive.ph/1Nbg0,1,1480
2024.MMP0011,2024.MMP0011,Incident,Central America,2024/1/12,2024,January,3,,3,2,1,,2,Mexico,Central America,Drowning,Mexico,US-Mexico border crossing,"Rio Bravo near Piedras Negras, Coahuila, Mexico, attempting to area near Shelby Park, Eagle Pass, Texas, USA","28.70741232, -100.512153",Central America,"Mexican Consulate in Eagle Pass, Texas, Henry Cuellar US Congressman",https://web.archive.org/web/20240115124013/https://www.gob.mx/sre/prensa/el-consulado-de-mexico-en-eagle-pass-da-seguimiento-ante-el-fallecimiento-de-tres-mexicanos-ahogados-en-el-rio-bravo,5,1036.780599
2024.MMP0017,2024.MMP0017,Incident,Central America,2024/1/11,2024,January,1,,1,,,1,,Haiti,Caribbean,Sickness / lack of access to adequate healthcare,Mexico,,"Undetermined location in Tizayuca, Hidalgo, Mexico","19.83530024, -98.991338",Central America,"Vanguardia de Veracruz,90 Grados",https://acortar.link/qvBWCp,3,2806.467966
2024.MMP0020,2024.MMP0020,Incident,North America,2024/1/6,2024,January,2,,2,,1,1,,Honduras,Central America,Drowning,United States of America,US-Mexico border crossing,"Rio Bravo in Del Rio, Val Verde County, Texas, United States of America","29.32698116, -100.926655",Northern America,Super Channel 12,https://acortar.link/7t3mo7,1,2203.226365
2024.MMP0031,2024.MMP0031,Incident,Central America,2024/1/13,2024,January,1,,1,,1,,,Cuba,Caribbean,Sickness / lack of access to adequate healthcare,Mexico,,"Unspecified location in Mexico City, Mexico","19.43264193, -99.13395488",Central America,Cibercuba,https://acortar.link/PoZOMY,1,1785.982517
2024.MMP0039,2024.MMP0039,Incident,North America,2024/1/24,2024,January,1,,1,2,,1,,Nicaragua,Central America,Drowning,United States of America,US-Mexico border crossing,"Rio Bravo south of Shelby Park, Eagle Pass, Maverick County,Texas, USA","28.70412098, -100.51021",Northern America,"News 4 San Antonio NBC, Texas Department of Public Safety - South Texas Region, 100% Noticias Nicaragua",https://acortar.link/mUHzdZ,5,2357.105391
2024.MMP0042,2024.MMP0042,Incident,Central America,2024/1/22,2024,January,1,,1,,,1,,Mexico,Central America,Vehicle accident / death linked to hazardous transport,Mexico,US-Mexico border crossing,"Roman Cepeda Avenue, Piedras Negras, Coahuila, Mexico","28.71161854, -100.555956",Central America,"Zócalo, Super Channel 12",https://acortar.link/vpMr4L,3,1037.851654
2024.MMP0043,2024.MMP0043,Incident,Central America,2024/1/29,2024,January,1,,1,,,1,,Mexico,Central America,Drowning,Mexico,US-Mexico border crossing,"Rio Bravo close to an aquaduct in Guerro, Coahuila, Mexico","28.53296616, -100.403479",Central America,"El Tiempo de Monclova, La Rancherita del Aire",https://acortar.link/Pk7xEd,3,1016.180515
2024.MMP0044,2024.MMP0044,Incident,Central America,2024/1/29,2024,January,2,,2,,,2,,Honduras,Central America,Violence,Mexico,US-Mexico border crossing,"Periodistas neighborhood, Piedras Negras, Coahuila, Mexico","28.67455472, -100.532942",Central America,"El Siglo de Torreon, Zócalo, Super Channel 12, Periodico La Voz",https://acortar.link/0jL8rP,3,2124.192638
2024.MMP0045,2024.MMP0045,Incident,South America,2024/1/29,2024,January,3,,3,38,1,,2,Venezuela (Bolivarian Republic of),South America,Drowning,Colombia,,"Urabá Gulf, close to the Village of Titumate, Ungía, Chocó, Colombia","8.30778024, -77.074966",South America,"Colombian Navy's Caribbean Naval Force, El Tiempo, Noticias Caracol, El Heraldo Colombia",https://archive.ph/pDUIn,5,1142.632995
